dataset,model,mode,alpha,repeat_index,coverage,interval_size,ece
E-c,Emobloom-7b,global,0.1,0,0.9155145929339478,8.044546850998463,0.015514592933947746
E-c,Emobloom-7b,global,0.2,0,0.8341013824884793,6.086021505376344,0.03410138248847927
E-c,Emobloom-7b,global,0.3,0,0.7342549923195084,4.58678955453149,0.03425499231950846
E-c,Emobloom-7b,global,0.4,0,0.663594470046083,3.812596006144393,0.06359447004608298
E-c,Emobloom-7b,global,0.5,0,0.5238095238095238,2.574500768049155,0.023809523809523836
E-c,Emobloom-7b,global,0.6,0,0.42242703533026116,2.035330261136713,0.022427035330261136
E-c,Emobloom-7b,global,0.7,0,0.3302611367127496,1.6574500768049154,0.030261136712749548
E-c,Emobloom-7b,global,0.8,0,0.23348694316436253,1.391705069124424,0.03348694316436257
E-c,Emobloom-7b,global,0.9,0,0.1336405529953917,1.0998463901689708,0.03364055299539173
E-c,Emobloom-7b,global,0.1,1,0.8894009216589862,7.563748079877112,0.010599078341013812
E-c,Emobloom-7b,global,0.2,1,0.8003072196620584,5.62826420890937,0.0003072196620583778
E-c,Emobloom-7b,global,0.3,1,0.7219662058371735,4.408602150537634,0.02196620583717357
E-c,Emobloom-7b,global,0.4,1,0.6344086021505376,3.6451612903225805,0.03440860215053765
E-c,Emobloom-7b,global,0.5,1,0.49001536098310294,2.4070660522273424,0.009984639016897057
E-c,Emobloom-7b,global,0.6,1,0.40860215053763443,1.9953917050691243,0.008602150537634412
E-c,Emobloom-7b,global,0.7,1,0.3210445468509985,1.6267281105990783,0.021044546850998436
E-c,Emobloom-7b,global,0.8,1,0.23963133640552994,1.3870967741935485,0.03963133640552999
E-c,Emobloom-7b,global,0.9,1,0.14592933947772657,1.1136712749615976,0.045929339477726594
E-c,Emobloom-7b,global,0.1,2,0.94,8.526153846153846,0.039999999999999925
E-c,Emobloom-7b,global,0.2,2,0.8430769230769231,6.1292307692307695,0.04307692307692301
E-c,Emobloom-7b,global,0.3,2,0.7476923076923077,4.733846153846154,0.0476923076923077
E-c,Emobloom-7b,global,0.4,2,0.6692307692307692,4.0,0.0692307692307692
E-c,Emobloom-7b,global,0.5,2,0.5553846153846154,3.170769230769231,0.055384615384615365
E-c,Emobloom-7b,global,0.6,2,0.3953846153846154,2.043076923076923,0.004615384615384632
E-c,Emobloom-7b,global,0.7,2,0.2846153846153846,1.616923076923077,0.015384615384615441
E-c,Emobloom-7b,global,0.8,2,0.21076923076923076,1.3876923076923078,0.010769230769230809
E-c,Emobloom-7b,global,0.9,2,0.1123076923076923,1.0723076923076924,0.012307692307692325
E-c,Emobloom-7b,global,0.1,3,0.9171779141104295,8.33435582822086,0.01717791411042946
E-c,Emobloom-7b,global,0.2,3,0.8220858895705522,6.233128834355829,0.02208588957055213
E-c,Emobloom-7b,global,0.3,3,0.7269938650306749,4.846625766871166,0.026993865030674913
E-c,Emobloom-7b,global,0.4,3,0.6395705521472392,4.0107361963190185,0.03957055214723926
E-c,Emobloom-7b,global,0.5,3,0.5368098159509203,3.184049079754601,0.036809815950920255
E-c,Emobloom-7b,global,0.6,3,0.4110429447852761,2.1180981595092025,0.011042944785276065
E-c,Emobloom-7b,global,0.7,3,0.2776073619631902,1.6058282208588956,0.022392638036809853
E-c,Emobloom-7b,global,0.8,3,0.20552147239263804,1.361963190184049,0.005521472392638088
E-c,Emobloom-7b,global,0.9,3,0.11809815950920245,1.1042944785276074,0.018098159509202474
E-c,Emobloom-7b,global,0.1,4,0.916923076923077,8.286153846153846,0.01692307692307693
E-c,Emobloom-7b,global,0.2,4,0.8215384615384616,5.875384615384616,0.021538461538461506
E-c,Emobloom-7b,global,0.3,4,0.7615384615384615,4.929230769230769,0.06153846153846154
E-c,Emobloom-7b,global,0.4,4,0.6384615384615384,3.8923076923076922,0.038461538461538436
E-c,Emobloom-7b,global,0.5,4,0.5430769230769231,3.1738461538461538,0.043076923076923124
E-c,Emobloom-7b,global,0.6,4,0.38769230769230767,2.02,0.012307692307692353
E-c,Emobloom-7b,global,0.7,4,0.2784615384615385,1.5984615384615384,0.021538461538461562
E-c,Emobloom-7b,global,0.8,4,0.18769230769230769,1.3107692307692307,0.01230769230769227
E-c,Emobloom-7b,global,0.9,4,0.10461538461538461,1.08,0.004615384615384632
E-c,Emobloom-7b,global,0.1,5,0.8895705521472392,7.421779141104294,0.010429447852760787
E-c,Emobloom-7b,global,0.2,5,0.8052147239263804,5.46319018404908,0.005214723926380338
E-c,Emobloom-7b,global,0.3,5,0.7177914110429447,4.375766871165644,0.017791411042944794
E-c,Emobloom-7b,global,0.4,5,0.6319018404907976,3.6319018404907975,0.031901840490797584
E-c,Emobloom-7b,global,0.5,5,0.48773006134969327,2.464723926380368,0.012269938650306733
E-c,Emobloom-7b,global,0.6,5,0.38190184049079756,1.9585889570552146,0.01809815950920246
E-c,Emobloom-7b,global,0.7,5,0.30828220858895705,1.6671779141104295,0.008282208588957007
E-c,Emobloom-7b,global,0.8,5,0.22085889570552147,1.4095092024539877,0.02085889570552152
E-c,Emobloom-7b,global,0.9,5,0.11503067484662577,1.093558282208589,0.015030674846625791
E-c,Emobloom-7b,global,0.1,6,0.9173047473200613,8.038284839203675,0.017304747320061264
E-c,Emobloom-7b,global,0.2,6,0.8392036753445635,6.056661562021439,0.03920367534456348
E-c,Emobloom-7b,global,0.3,6,0.7274119448698315,4.54364471669219,0.02741194486983156
E-c,Emobloom-7b,global,0.4,6,0.6523736600306279,3.7595712098009186,0.05237366003062793
E-c,Emobloom-7b,global,0.5,6,0.5865237366003063,3.222052067381317,0.08652373660030632
E-c,Emobloom-7b,global,0.6,6,0.40888208269525267,2.114854517611026,0.008882082695252647
E-c,Emobloom-7b,global,0.7,6,0.29402756508422667,1.6584992343032159,0.0059724349157733725
E-c,Emobloom-7b,global,0.8,6,0.17304747320061256,1.329249617151608,0.026952526799387394
