dataset,model,mode,alpha,metric,mean,std,ci_lower,ci_upper,n
GoEmotions,Emollama-7b,global,0.1,coverage,0.8981662469257758,0.008025985094846396,0.892424803060818,0.9039076907907337,10
GoEmotions,Emollama-7b,global,0.2,coverage,0.7975277062565637,0.009412268283961652,0.7907945751386166,0.8042608373745107,10
GoEmotions,Emollama-7b,global,0.3,coverage,0.7024438023733766,0.013056020843862511,0.6931040876979918,0.7117835170487613,10
GoEmotions,Emollama-7b,global,0.4,coverage,0.609483465552209,0.016741958184131305,0.5975069901454226,0.6214599409589954,10
GoEmotions,Emollama-7b,global,0.5,coverage,0.5103286448335658,0.018351356886299026,0.4972008749506951,0.5234564147164364,10
GoEmotions,Emollama-7b,global,0.6,coverage,0.4384713069872618,0.013673672580583508,0.42868975087651795,0.4482528630980056,10
GoEmotions,Emollama-7b,global,0.7,coverage,0.3922310235159379,0.012313380764889033,0.38342256154971055,0.4010394854821653,10
GoEmotions,Emollama-7b,global,0.8,coverage,0.36347027624448364,0.008603754419519216,0.35731552110305287,0.3696250313859144,10
GoEmotions,Emollama-7b,global,0.9,coverage,0.3633778548027092,0.008511981649307757,0.35728874994623083,0.3694669596591875,10
GoEmotions,Emollama-7b,hybrid,0.1,coverage,0.9168577156095236,0.00986522574244377,0.9098005582455324,0.9239148729735147,10
GoEmotions,Emollama-7b,hybrid,0.2,coverage,0.823615586254258,0.014309393335935084,0.8133792629108934,0.8338519095976227,10
GoEmotions,Emollama-7b,hybrid,0.3,coverage,0.7188283098154671,0.012397732699374856,0.7099595061103718,0.7276971135205623,10
GoEmotions,Emollama-7b,hybrid,0.4,coverage,0.6167283236972569,0.013036794182540144,0.6074023629468283,0.6260542844476856,10
GoEmotions,Emollama-7b,hybrid,0.5,coverage,0.5367091887208264,0.014942009854365387,0.5260203187821603,0.5473980586594925,10
GoEmotions,Emollama-7b,hybrid,0.6,coverage,0.45761564855545594,0.019849412830107806,0.44341623400762475,0.47181506310328714,10
GoEmotions,Emollama-7b,hybrid,0.7,coverage,0.3551311212637923,0.02537957862967049,0.33697566441998344,0.3732865781076012,10
GoEmotions,Emollama-7b,hybrid,0.8,coverage,0.355128766291777,0.02018465035448285,0.3406895372657377,0.36956799531781626,10
GoEmotions,Emollama-7b,hybrid,0.9,coverage,0.3482051703729176,0.011460315309296568,0.3400069546716084,0.3564033860742268,10
GoEmotions,Emollama-7b,mondrian,0.1,coverage,0.9271248457812089,0.007865712963516038,0.9214980536922357,0.9327516378701821,10
GoEmotions,Emollama-7b,mondrian,0.2,coverage,0.835732362156463,0.013727083911943846,0.8259125978809725,0.8455521264319534,10
GoEmotions,Emollama-7b,mondrian,0.3,coverage,0.7360379697098796,0.010757426344545283,0.7283425704836481,0.743733368936111,10
GoEmotions,Emollama-7b,mondrian,0.4,coverage,0.6343998177119194,0.016681333435802453,0.622466710637524,0.6463329247863149,10
GoEmotions,Emollama-7b,mondrian,0.5,coverage,0.5324656442897988,0.0170551281842039,0.5202651405607122,0.5446661480188855,10
GoEmotions,Emollama-7b,mondrian,0.6,coverage,0.43477622125546234,0.027119937174166157,0.4153757869079527,0.454176655602972,10
GoEmotions,Emollama-7b,mondrian,0.7,coverage,0.3570755027020628,0.022926782451081505,0.34067467054358935,0.3734763348605362,10
GoEmotions,Emollama-7b,mondrian,0.8,coverage,0.3535569980918777,0.020900695511805012,0.3386055412175485,0.3685084549662069,10
GoEmotions,Emollama-7b,mondrian,0.9,coverage,0.3506102755617403,0.010829790880809025,0.342863109864744,0.3583574412587366,10
GoEmotions,Emollama-7b,global,0.1,interval_size,5.032830781687582,0.0664473029010372,4.985297244673026,5.080364318702138,10
GoEmotions,Emollama-7b,global,0.2,interval_size,3.9962883259863426,0.06520649147632028,3.949642411993487,4.042934239979198,10
GoEmotions,Emollama-7b,global,0.3,interval_size,3.1466397606584335,0.06352154544051498,3.101199184448509,3.192080336868358,10
GoEmotions,Emollama-7b,global,0.4,interval_size,2.436010231784629,0.06505251458356333,2.3894744662253697,2.482545997343888,10
GoEmotions,Emollama-7b,global,0.5,interval_size,1.7051331456926682,0.06839534561461656,1.656206062869793,1.7540602285155433,10
GoEmotions,Emollama-7b,global,0.6,interval_size,1.3236870605279332,0.03219576090977654,1.3006556006175751,1.3467185204382912,10
GoEmotions,Emollama-7b,global,0.7,interval_size,1.0869321789580524,0.015379231979792607,1.075930539152511,1.0979338187635939,10
GoEmotions,Emollama-7b,global,0.8,interval_size,1.0008317929759705,0.0026303603457962475,0.9989501465373672,1.0027134394145736,10
GoEmotions,Emollama-7b,global,0.9,interval_size,1.0,0.0,1.0,1.0,10
GoEmotions,Emollama-7b,hybrid,0.1,interval_size,4.8234283658990185,0.31031615759497194,4.601441559523689,5.045415172274348,10
GoEmotions,Emollama-7b,hybrid,0.2,interval_size,3.5536181454602103,0.1652174935411104,3.435428670465493,3.6718076204549277,10
GoEmotions,Emollama-7b,hybrid,0.3,interval_size,2.7166715532802703,0.14377976669610854,2.6138177042328166,2.819525402327724,10
GoEmotions,Emollama-7b,hybrid,0.4,interval_size,2.1503271456274304,0.05629820099222056,2.110053838752926,2.190600452501935,10
GoEmotions,Emollama-7b,hybrid,0.5,interval_size,1.7673747379870506,0.042277379568544125,1.7371313225456022,1.797618153428499,10
GoEmotions,Emollama-7b,hybrid,0.6,interval_size,1.4783477595048249,0.028161180589827212,1.4582024644891072,1.4984930545205426,10
GoEmotions,Emollama-7b,hybrid,0.7,interval_size,1.192094894230614,0.03442063453086236,1.1674718556104609,1.2167179328507671,10
GoEmotions,Emollama-7b,hybrid,0.8,interval_size,1.0292294546453566,0.0169593959047836,1.0170974336634793,1.041361475627234,10
GoEmotions,Emollama-7b,hybrid,0.9,interval_size,1.0,0.0,1.0,1.0,10
GoEmotions,Emollama-7b,mondrian,0.1,interval_size,4.934947246729827,0.32838319489969,4.700036060447819,5.169858433011835,10
GoEmotions,Emollama-7b,mondrian,0.2,interval_size,3.6454744621160264,0.17892936161756087,3.517476107598819,3.773472816633234,10
GoEmotions,Emollama-7b,mondrian,0.3,interval_size,2.790991261122569,0.16318850776174487,2.674253235117273,2.907729287127865,10
GoEmotions,Emollama-7b,mondrian,0.4,interval_size,2.2261194925570598,0.07089058515232473,2.1754074228987896,2.27683156221533,10
GoEmotions,Emollama-7b,mondrian,0.5,interval_size,1.8211457815689343,0.05420379605610062,1.7823707217294191,1.8599208414084494,10
GoEmotions,Emollama-7b,mondrian,0.6,interval_size,1.4947465306357897,0.04554460932986529,1.4621658798211294,1.5273271814504499,10
GoEmotions,Emollama-7b,mondrian,0.7,interval_size,1.2088308964354368,0.04129934490447212,1.1792871248452284,1.2383746680256453,10
GoEmotions,Emollama-7b,mondrian,0.8,interval_size,1.032556380956588,0.015577687796097814,1.0214127744123191,1.043699987500857,10
GoEmotions,Emollama-7b,mondrian,0.9,interval_size,1.0025901243072783,0.005293808260153866,0.9988031620093991,1.0063770866051576,10
GoEmotions,Emollama-7b,global,0.1,ece,0.006774694311072582,0.004142055367028193,0.0038116463992828964,0.009737742222862267,10
GoEmotions,Emollama-7b,global,0.2,ece,0.008194991066976243,0.004556567005781418,0.004935419391791892,0.011454562742160593,10
GoEmotions,Emollama-7b,global,0.3,ece,0.010613592377613047,0.007206288853018933,0.005458523880059159,0.015768660875166936,10
GoEmotions,Emollama-7b,global,0.4,ece,0.01323191141130603,0.013626627802397453,0.0034840091075282933,0.022979813715083765,10
GoEmotions,Emollama-7b,global,0.5,ece,0.016264718076295665,0.012703233167104852,0.007177372501827076,0.025352063650764256,10
GoEmotions,Emollama-7b,global,0.6,ece,0.038471306987261686,0.013673672580583508,0.028689750876517865,0.048252863098005506,10
GoEmotions,Emollama-7b,global,0.7,ece,0.09223102351593787,0.012313380764889033,0.0834225615497105,0.10103948548216524,10
GoEmotions,Emollama-7b,global,0.8,ece,0.16347027624448368,0.008603754419519216,0.1573155211030529,0.16962503138591445,10
GoEmotions,Emollama-7b,global,0.9,ece,0.26337785480270914,0.008511981649307755,0.2572887499462308,0.2694669596591875,10
GoEmotions,Emollama-7b,hybrid,0.1,ece,0.017209241974000856,0.009166059210557251,0.010652238217030693,0.023766245730971018,10
GoEmotions,Emollama-7b,hybrid,0.2,ece,0.023615586254257935,0.014309393335935082,0.013379262910893244,0.033851909597622624,10
GoEmotions,Emollama-7b,hybrid,0.3,ece,0.018828309815467126,0.012397732699374856,0.009959506110371857,0.027697113520562394,10
GoEmotions,Emollama-7b,hybrid,0.4,ece,0.016802124435264475,0.012930911735674453,0.007551907424424083,0.026052341446104868,10
GoEmotions,Emollama-7b,hybrid,0.5,ece,0.03670918872082646,0.014942009854365387,0.02602031878216035,0.047398058659492565,10
GoEmotions,Emollama-7b,hybrid,0.6,ece,0.05761564855545587,0.019849412830107806,0.04341623400762469,0.07181506310328704,10
