dataset,model,mode,repeat_index,accuracy,f1_micro,f1_macro,pcc,ace
E-c,Emobloom-7b,global,0,0.2519201228878648,0.6918528252299606,0.5250766356911992,,0.03425499231950846
E-c,Emobloom-7b,global,1,0.2642089093701997,0.6894015379471748,0.5319352436438842,,0.015453149001536094
E-c,Emobloom-7b,global,2,0.24461538461538462,0.6881510416666666,0.5244781694445916,,0.05107692307692304
E-c,Emobloom-7b,global,3,0.26380368098159507,0.6846378694381292,0.5364300240093628,,0.028527607361963202
E-c,Emobloom-7b,global,4,0.2553846153846154,0.6800394607037159,0.5149664633182446,,0.036307692307692305
E-c,Emobloom-7b,global,5,0.2776073619631902,0.694371727748691,0.5240304349503381,,0.015521472392638047
E-c,Emobloom-7b,global,6,0.24961715160796324,0.6910362364907819,0.5323713896430553,,0.04456355283307811
E-c,Emobloom-7b,global,7,0.25076923076923074,0.68782722513089,0.5239243859575325,,0.02123076923076923
E-c,Emobloom-7b,global,8,0.25384615384615383,0.6922824302134647,0.5368363465928067,,0.020000000000000018
E-c,Emobloom-7b,global,9,0.2457757296466974,0.6845199216198563,0.5173878040450677,,0.02073732718894008
E-c,Emobloom-7b,hybrid,0,0.2519201228878648,0.6918528252299606,0.5250766356911992,,0.08156682027649768
E-c,Emobloom-7b,hybrid,1,0.2642089093701997,0.6894015379471748,0.5319352436438842,,0.06006144393241168
E-c,Emobloom-7b,hybrid,2,0.24461538461538462,0.6881510416666666,0.5244781694445916,,0.08153846153846153
E-c,Emobloom-7b,hybrid,3,0.26380368098159507,0.6846378694381292,0.5364300240093628,,0.06840490797546014
E-c,Emobloom-7b,hybrid,4,0.2553846153846154,0.6800394607037159,0.5149664633182446,,0.0716923076923077
E-c,Emobloom-7b,hybrid,5,0.2776073619631902,0.694371727748691,0.5240304349503381,,0.050920245398773024
E-c,Emobloom-7b,hybrid,6,0.24961715160796324,0.6910362364907819,0.5323713896430553,,0.0773353751914242
E-c,Emobloom-7b,hybrid,7,0.25076923076923074,0.68782722513089,0.5239243859575325,,0.05753846153846154
E-c,Emobloom-7b,hybrid,8,0.25384615384615383,0.6922824302134647,0.5368363465928067,,0.05046153846153845
E-c,Emobloom-7b,hybrid,9,0.2457757296466974,0.6845199216198563,0.5173878040450677,,0.06251920122887866
E-c,Emobloom-7b,mondrian,0,0.2519201228878648,0.6918528252299606,0.5250766356911992,,0.10921658986175116
E-c,Emobloom-7b,mondrian,1,0.2642089093701997,0.6894015379471748,0.5319352436438842,,0.08678955453149
E-c,Emobloom-7b,mondrian,2,0.24461538461538462,0.6881510416666666,0.5244781694445916,,0.11015384615384613
E-c,Emobloom-7b,mondrian,3,0.26380368098159507,0.6846378694381292,0.5364300240093628,,0.09141104294478528
E-c,Emobloom-7b,mondrian,4,0.2553846153846154,0.6800394607037159,0.5149664633182446,,0.09507692307692306
E-c,Emobloom-7b,mondrian,5,0.2776073619631902,0.694371727748691,0.5240304349503381,,0.07177914110429448
E-c,Emobloom-7b,mondrian,6,0.24961715160796324,0.6910362364907819,0.5323713896430553,,0.10122511485451761
E-c,Emobloom-7b,mondrian,7,0.25076923076923074,0.68782722513089,0.5239243859575325,,0.08246153846153845
E-c,Emobloom-7b,mondrian,8,0.25384615384615383,0.6922824302134647,0.5368363465928067,,0.07538461538461536
E-c,Emobloom-7b,mondrian,9,0.2457757296466974,0.6845199216198563,0.5173878040450677,,0.0910906298003072
E-c,Emollama-7b,global,0,0.24386503067484663,0.6963285625388923,0.5460032508671947,,0.012269938650306756
E-c,Emollama-7b,global,1,0.23963133640552994,0.6881653099561679,0.5272551127752231,,0.015207373271889391
E-c,Emollama-7b,global,2,0.2557427258805513,0.6918586789554532,0.5389584287474338,,0.007810107197549754
E-c,Emollama-7b,global,3,0.2327718223583461,0.7110311750599521,0.5592392351061676,,0.011240428790199087
