dataset,model,mode,metric,mean,std,ci_lower,ci_upper,n
E-c,Emobloom-7b,global,accuracy,0.2557548341072895,0.01010209372442301,0.24852823159658202,0.26298143661799694,10
E-c,Emobloom-7b,hybrid,accuracy,0.2557548341072895,0.01010209372442301,0.24852823159658202,0.26298143661799694,10
E-c,Emobloom-7b,mondrian,accuracy,0.2557548341072895,0.01010209372442301,0.24852823159658202,0.26298143661799694,10
E-c,Emollama-7b,global,accuracy,0.2431428985763378,0.012729875512917524,0.2340364942158004,0.2522493029368752,10
E-c,Emollama-7b,hybrid,accuracy,0.2431428985763378,0.012729875512917524,0.2340364942158004,0.2522493029368752,10
E-c,Emollama-7b,mondrian,accuracy,0.2431428985763378,0.012729875512917524,0.2340364942158004,0.2522493029368752,10
E-c,Emollama-chat-13b,global,accuracy,0.23762483676096163,0.01626063221927917,0.22599268120716376,0.2492569923147595,10
E-c,Emollama-chat-13b,hybrid,accuracy,0.23762483676096163,0.01626063221927917,0.22599268120716376,0.2492569923147595,10
E-c,Emollama-chat-13b,mondrian,accuracy,0.23762483676096163,0.01626063221927917,0.22599268120716376,0.2492569923147595,10
E-c,Emollama-chat-7b,global,accuracy,0.25565691355293607,0.014100847253843874,0.24556977508961214,0.26574405201626,10
E-c,Emollama-chat-7b,hybrid,accuracy,0.25565691355293607,0.014100847253843874,0.24556977508961214,0.26574405201626,10
E-c,Emollama-chat-7b,mondrian,accuracy,0.25565691355293607,0.014100847253843874,0.24556977508961214,0.26574405201626,10
E-c,Emoopt-13b,global,accuracy,0.23222150715433254,0.012722774160186997,0.22312018279551277,0.2413228315131523,10
E-c,Emoopt-13b,hybrid,accuracy,0.23222150715433254,0.012722774160186997,0.22312018279551277,0.2413228315131523,10
E-c,Emoopt-13b,mondrian,accuracy,0.23222150715433254,0.012722774160186997,0.22312018279551277,0.2413228315131523,10
GoEmotions,Emobloom-7b,global,accuracy,0.22560132558639512,0.009973546805936864,0.21846668000157024,0.23273597117122,10
GoEmotions,Emobloom-7b,hybrid,accuracy,0.22560132558639512,0.009973546805936864,0.21846668000157024,0.23273597117122,10
GoEmotions,Emobloom-7b,mondrian,accuracy,0.22560132558639512,0.009973546805936864,0.21846668000157024,0.23273597117122,10
GoEmotions,Emollama-7b,global,accuracy,0.16979971707752928,0.011222798192408763,0.16177141088607622,0.17782802326898234,10
GoEmotions,Emollama-7b,hybrid,accuracy,0.16979971707752928,0.011222798192408763,0.16177141088607622,0.17782802326898234,10
GoEmotions,Emollama-7b,mondrian,accuracy,0.16979971707752928,0.011222798192408763,0.16177141088607622,0.17782802326898234,10
GoEmotions,Emollama-chat-13b,global,accuracy,0.19561709729936874,0.008420992378659892,0.1895930822460192,0.20164111235271828,10
GoEmotions,Emollama-chat-13b,hybrid,accuracy,0.19561709729936874,0.008420992378659892,0.1895930822460192,0.20164111235271828,10
GoEmotions,Emollama-chat-13b,mondrian,accuracy,0.19561709729936874,0.008420992378659892,0.1895930822460192,0.20164111235271828,10
GoEmotions,Emollama-chat-7b,global,accuracy,0.2640276259422111,0.01385217021371078,0.2541183803169071,0.27393687156751506,10
GoEmotions,Emollama-chat-7b,hybrid,accuracy,0.2640276259422111,0.01385217021371078,0.2541183803169071,0.27393687156751506,10
GoEmotions,Emollama-chat-7b,mondrian,accuracy,0.2640276259422111,0.01385217021371078,0.2541183803169071,0.27393687156751506,10
GoEmotions,Emoopt-13b,global,accuracy,0.2848446745379922,0.00805923811033701,0.27907944289875825,0.2906099061772262,10
GoEmotions,Emoopt-13b,hybrid,accuracy,0.2848446745379922,0.00805923811033701,0.27907944289875825,0.2906099061772262,10
GoEmotions,Emoopt-13b,mondrian,accuracy,0.2848446745379922,0.00805923811033701,0.27907944289875825,0.2906099061772262,10
E-c,Emobloom-7b,global,f1_micro,0.6884120276189332,0.004347483006446931,0.6853020256266044,0.691522029611262,10
E-c,Emobloom-7b,hybrid,f1_micro,0.6884120276189332,0.004347483006446931,0.6853020256266044,0.691522029611262,10
E-c,Emobloom-7b,mondrian,f1_micro,0.6884120276189332,0.004347483006446931,0.6853020256266044,0.691522029611262,10
E-c,Emollama-7b,global,f1_micro,0.6965343033618108,0.00932930346396401,0.6898605217008031,0.7032080850228184,10
E-c,Emollama-7b,hybrid,f1_micro,0.6965343033618108,0.00932930346396401,0.6898605217008031,0.7032080850228184,10
E-c,Emollama-7b,mondrian,f1_micro,0.6965343033618108,0.00932930346396401,0.6898605217008031,0.7032080850228184,10
E-c,Emollama-chat-13b,global,f1_micro,0.691418062093123,0.00952602809380538,0.6846035521095803,0.6982325720766656,10
E-c,Emollama-chat-13b,hybrid,f1_micro,0.691418062093123,0.00952602809380538,0.6846035521095803,0.6982325720766656,10
E-c,Emollama-chat-13b,mondrian,f1_micro,0.691418062093123,0.00952602809380538,0.6846035521095803,0.6982325720766656,10
E-c,Emollama-chat-7b,global,f1_micro,0.6941103925431716,0.010533715144879786,0.686575026668568,0.7016457584177753,10
E-c,Emollama-chat-7b,hybrid,f1_micro,0.6941103925431716,0.010533715144879786,0.686575026668568,0.7016457584177753,10
E-c,Emollama-chat-7b,mondrian,f1_micro,0.6941103925431716,0.010533715144879786,0.686575026668568,0.7016457584177753,10
E-c,Emoopt-13b,global,f1_micro,0.6767083027542168,0.008534358900281164,0.6706031901767175,0.682813415331716,10
E-c,Emoopt-13b,hybrid,f1_micro,0.6767083027542168,0.008534358900281164,0.6706031901767175,0.682813415331716,10
E-c,Emoopt-13b,mondrian,f1_micro,0.6767083027542168,0.008534358900281164,0.6706031901767175,0.682813415331716,10
GoEmotions,Emobloom-7b,global,f1_micro,0.43538416401308516,0.010716421263902664,0.4277180980544721,0.44305022997169824,10
GoEmotions,Emobloom-7b,hybrid,f1_micro,0.43538416401308516,0.010716421263902664,0.4277180980544721,0.44305022997169824,10
GoEmotions,Emobloom-7b,mondrian,f1_micro,0.43538416401308516,0.010716421263902664,0.4277180980544721,0.44305022997169824,10
GoEmotions,Emollama-7b,global,f1_micro,0.386306515443406,0.008940797974188187,0.37991065386752393,0.39270237701928806,10
GoEmotions,Emollama-7b,hybrid,f1_micro,0.386306515443406,0.008940797974188187,0.37991065386752393,0.39270237701928806,10
GoEmotions,Emollama-7b,mondrian,f1_micro,0.386306515443406,0.008940797974188187,0.37991065386752393,0.39270237701928806,10
GoEmotions,Emollama-chat-13b,global,f1_micro,0.3906260107956939,0.009327002109490683,0.38395387542450193,0.3972981461668859,10
GoEmotions,Emollama-chat-13b,hybrid,f1_micro,0.3906260107956939,0.009327002109490683,0.38395387542450193,0.3972981461668859,10
GoEmotions,Emollama-chat-13b,mondrian,f1_micro,0.3906260107956939,0.009327002109490683,0.38395387542450193,0.3972981461668859,10
GoEmotions,Emollama-chat-7b,global,f1_micro,0.42461587658980066,0.011803633854549056,0.41617206559619124,0.43305968758341007,10
GoEmotions,Emollama-chat-7b,hybrid,f1_micro,0.42461587658980066,0.011803633854549056,0.41617206559619124,0.43305968758341007,10
GoEmotions,Emollama-chat-7b,mondrian,f1_micro,0.42461587658980066,0.011803633854549056,0.41617206559619124,0.43305968758341007,10
GoEmotions,Emoopt-13b,global,f1_micro,0.4091535896520468,0.008090235067864784,0.40336618412518066,0.4149409951789129,10
GoEmotions,Emoopt-13b,hybrid,f1_micro,0.4091535896520468,0.008090235067864784,0.40336618412518066,0.4149409951789129,10
GoEmotions,Emoopt-13b,mondrian,f1_micro,0.4091535896520468,0.008090235067864784,0.40336618412518066,0.4149409951789129,10
E-c,Emobloom-7b,global,f1_macro,0.5267436897296083,0.00748158901845831,0.5213916833574876,0.5320956961017289,10
E-c,Emobloom-7b,hybrid,f1_macro,0.5267436897296083,0.00748158901845831,0.5213916833574876,0.5320956961017289,10
E-c,Emobloom-7b,mondrian,f1_macro,0.5267436897296083,0.00748158901845831,0.5213916833574876,0.5320956961017289,10
E-c,Emollama-7b,global,f1_macro,0.5373821238060259,0.012346158951100554,0.5285502137379263,0.5462140338741255,10
E-c,Emollama-7b,hybrid,f1_macro,0.5373821238060259,0.012346158951100554,0.5285502137379263,0.5462140338741255,10
E-c,Emollama-7b,mondrian,f1_macro,0.5373821238060259,0.012346158951100554,0.5285502137379263,0.5462140338741255,10
E-c,Emollama-chat-13b,global,f1_macro,0.5337616656817212,0.011884391992315045,0.5252600837965461,0.5422632475668964,10
E-c,Emollama-chat-13b,hybrid,f1_macro,0.5337616656817212,0.011884391992315045,0.5252600837965461,0.5422632475668964,10
E-c,Emollama-chat-13b,mondrian,f1_macro,0.5337616656817212,0.011884391992315045,0.5252600837965461,0.5422632475668964,10
E-c,Emollama-chat-7b,global,f1_macro,0.5288762342757344,0.01271173087799681,0.5197828098050942,0.5379696587463746,10
E-c,Emollama-chat-7b,hybrid,f1_macro,0.5288762342757344,0.01271173087799681,0.5197828098050942,0.5379696587463746,10
E-c,Emollama-chat-7b,mondrian,f1_macro,0.5288762342757344,0.01271173087799681,0.5197828098050942,0.5379696587463746,10
E-c,Emoopt-13b,global,f1_macro,0.5065418734673746,0.0099677323012768,0.4994113873286132,0.513672359606136,10
E-c,Emoopt-13b,hybrid,f1_macro,0.5065418734673746,0.0099677323012768,0.4994113873286132,0.513672359606136,10
E-c,Emoopt-13b,mondrian,f1_macro,0.5065418734673746,0.0099677323012768,0.4994113873286132,0.513672359606136,10
GoEmotions,Emobloom-7b,global,f1_macro,0.36782521201579954,0.012704977675944527,0.3587366184948849,0.37691380553671416,10
GoEmotions,Emobloom-7b,hybrid,f1_macro,0.36782521201579954,0.012704977675944527,0.3587366184948849,0.37691380553671416,10
GoEmotions,Emobloom-7b,mondrian,f1_macro,0.36782521201579954,0.012704977675944527,0.3587366184948849,0.37691380553671416,10
GoEmotions,Emollama-7b,global,f1_macro,0.33701995532976914,0.013312017961001092,0.32749711134872617,0.3465427993108121,10
GoEmotions,Emollama-7b,hybrid,f1_macro,0.33701995532976914,0.013312017961001092,0.32749711134872617,0.3465427993108121,10
GoEmotions,Emollama-7b,mondrian,f1_macro,0.33701995532976914,0.013312017961001092,0.32749711134872617,0.3465427993108121,10
GoEmotions,Emollama-chat-13b,global,f1_macro,0.34032443579965255,0.013665026627745354,0.3305490646309803,0.35009980696832477,10
GoEmotions,Emollama-chat-13b,hybrid,f1_macro,0.34032443579965255,0.013665026627745354,0.3305490646309803,0.35009980696832477,10
GoEmotions,Emollama-chat-13b,mondrian,f1_macro,0.34032443579965255,0.013665026627745354,0.3305490646309803,0.35009980696832477,10
GoEmotions,Emollama-chat-7b,global,f1_macro,0.3724841471535535,0.017086577673297,0.3602611458152543,0.38470714849185267,10
GoEmotions,Emollama-chat-7b,hybrid,f1_macro,0.3724841471535535,0.017086577673297,0.3602611458152543,0.38470714849185267,10
GoEmotions,Emollama-chat-7b,mondrian,f1_macro,0.3724841471535535,0.017086577673297,0.3602611458152543,0.38470714849185267,10
GoEmotions,Emoopt-13b,global,f1_macro,0.3518500123111457,0.011373631532857299,0.34371380644794947,0.35998621817434195,10
GoEmotions,Emoopt-13b,hybrid,f1_macro,0.3518500123111457,0.011373631532857299,0.34371380644794947,0.35998621817434195,10
GoEmotions,Emoopt-13b,mondrian,f1_macro,0.3518500123111457,0.011373631532857299,0.34371380644794947,0.35998621817434195,10
E-c,Emobloom-7b,global,ace,0.02291711007470633,0.007353785448727396,0.01765652886880262,0.028177691280610036,10
E-c,Emobloom-7b,hybrid,ace,0.06132692402679574,0.008735459594280676,0.05507795267904495,0.06757589537454652,10
E-c,Emobloom-7b,mondrian,ace,0.08151653468952791,0.01071305654619098,0.0738528757049666,0.08918019367408922,10
E-c,Emollama-7b,global,ace,0.02154561046828283,0.009148447692999696,0.0150012052320224,0.02809001570454326,10
E-c,Emollama-7b,hybrid,ace,0.06290209180965631,0.018266192684200773,0.04983524472689959,0.07596893889241302,10
E-c,Emollama-7b,mondrian,ace,0.08337860902008656,0.01858326202923656,0.07008494419168129,0.09667227384849184,10
E-c,Emollama-chat-13b,global,ace,0.02182769786763624,0.010384644936341116,0.014398970396187778,0.029256425339084704,10
E-c,Emollama-chat-13b,hybrid,ace,0.06810340508021809,0.017719127293876747,0.05542790500245687,0.08077890515797931,10
E-c,Emollama-chat-13b,mondrian,ace,0.08488844940920777,0.017314697441849644,0.07250226101908198,0.09727463779933355,10
E-c,Emollama-chat-7b,global,ace,0.01811539361997314,0.009286443268023841,0.011472272296123355,0.024758514943822925,10
E-c,Emollama-chat-7b,hybrid,ace,0.061414291274859076,0.015114171569121733,0.050602264264595215,0.07222631828512294,10
E-c,Emollama-chat-7b,mondrian,ace,0.08069175349713285,0.014767851335135807,0.07012746905793432,0.09125603793633139,10
E-c,Emoopt-13b,global,ace,0.020198627069651788,0.011590247470895173,0.011907463499233035,0.02848979064007054,10
E-c,Emoopt-13b,hybrid,ace,0.04840363964336381,0.01548710787958149,0.03732483006791876,0.05948244921880887,10
E-c,Emoopt-13b,mondrian,ace,0.06883728917241069,0.016097581318544392,0.057321773206481075,0.08035280513834031,10
GoEmotions,Emobloom-7b,global,ace,0.10075123745702372,0.010254473547760606,0.09341562898735842,0.10808684592668902,10
GoEmotions,Emobloom-7b,hybrid,ace,0.0812081652764642,0.012027247306279337,0.07260439085588762,0.08981193969704078,10
GoEmotions,Emobloom-7b,mondrian,ace,0.08226143041887435,0.01424703018533882,0.07206971898596788,0.09245314185178082,10
GoEmotions,Emollama-7b,global,ace,0.06807004097707288,0.0072324840690356626,0.06289623355083757,0.07324384840330819,10
GoEmotions,Emollama-7b,hybrid,ace,0.06991612863152885,0.012058385198917235,0.061290079504415826,0.07854217775864188,10
GoEmotions,Emollama-7b,mondrian,ace,0.07372430752168838,0.012154710824235046,0.06502935119328061,0.08241926385009614,10
GoEmotions,Emollama-chat-13b,global,ace,0.08644651033885478,0.010768703063219129,0.07874304423404319,0.09414997644366638,10
GoEmotions,Emollama-chat-13b,hybrid,ace,0.08216474828096636,0.012804812519779569,0.07300473721505608,0.09132475934687663,10
GoEmotions,Emollama-chat-13b,mondrian,ace,0.08690439094519178,0.012927587469934693,0.07765655197080568,0.09615222991957789,10
GoEmotions,Emollama-chat-7b,global,ace,0.06798659739954435,0.011004797296690043,0.06011423965435531,0.07585895514473338,10
GoEmotions,Emollama-chat-7b,hybrid,ace,0.06810849057807897,0.015581402268882143,0.056962226860051736,0.0792547542961062,10
GoEmotions,Emollama-chat-7b,mondrian,ace,0.07775466053799604,0.0161059880162707,0.06623313078279135,0.08927619029320073,10
GoEmotions,Emoopt-13b,global,ace,0.0946768816815468,0.01015430653558408,0.08741292837579419,0.1019408349872994,10
GoEmotions,Emoopt-13b,hybrid,ace,0.10485525203500061,0.01078522270755704,0.09713996848852742,0.1125705355814738,10
GoEmotions,Emoopt-13b,mondrian,ace,0.10796421520352277,0.010796004026035474,0.10024121916642037,0.11568721124062517,10
