Dataset,Model,ECE,MCE,Brier_Score,Samples
EI-reg,Emobloom-7b,0.01661553588987223,0.22313333333333332,0.014304271386430678,4068
EI-reg,Emollama-7b,0.01906071779744347,0.09484,0.012985600540806294,4068
EI-reg,Emollama-chat-13b,0.009742379547689238,0.1067391304347826,0.011353095378564406,4068
EI-reg,Emollama-chat-7b,0.017570796460177007,0.09168421052631578,0.013024602507374632,4068
EI-reg,Emoopt-13b,0.025380039331366785,0.123,0.013068703048180925,4068
V-reg,Emobloom-7b,0.01535218783351117,0.3272857142857143,0.012961422625400213,937
V-reg,Emollama-7b,0.0251270010672359,0.07999999999999999,0.011481188900747064,937
V-reg,Emollama-chat-13b,0.014221985058698023,0.08861904761904749,0.010412160085378867,937
V-reg,Emollama-chat-7b,0.02598399146211314,0.09050000000000001,0.011894165421558167,937
V-reg,Emoopt-13b,0.0246659551760939,0.08902439024390241,0.011132271077908219,937
SST,Emobloom-7b,0.06595750409836068,0.21952928571428573,0.025695999878966758,2196
SST,Emollama-7b,0.08818367782805431,0.12020053824362598,0.028894146904465155,2210
SST,Emollama-chat-13b,0.07052057556561085,0.11920431077694227,0.026458541378673303,2210
SST,Emollama-chat-7b,0.07759919728506788,0.19270825,0.026470443209442533,2210
SST,Emoopt-13b,0.10262289864253397,0.19079721071428568,0.033903730134329416,2210
"V-A,V-M,V-NYT,V-T",Emobloom-7b,1.3267119509025502,1.906077080665395,3.1978740859992536,3998
"V-A,V-M,V-NYT,V-T",Emollama-7b,0.6934581803787856,1.4204040404999998,1.902170014642548,4000
"V-A,V-M,V-NYT,V-T",Emollama-chat-13b,0.3327159174895086,1.08217476033861,1.411061552655026,4000
"V-A,V-M,V-NYT,V-T",Emollama-chat-7b,0.725989000778755,2.0218888888900004,1.8266944138382304,3998
"V-A,V-M,V-NYT,V-T",Emoopt-13b,0.7539027456401154,1.2906815053493497,1.969417287129129,4000
