Dataset,Model,Out_of_Domain_%,Pred_Range,Expected_Range
EI-reg,Emobloom-7b,0.0,"[0.00, 0.98]","[0, 1]"
EI-reg,Emollama-7b,0.0,"[0.00, 0.96]","[0, 1]"
EI-reg,Emollama-chat-13b,0.0,"[0.00, 0.98]","[0, 1]"
EI-reg,Emollama-chat-7b,0.024582104228121928,"[0.02, 48.00]","[0, 1]"
EI-reg,Emoopt-13b,0.0,"[0.02, 1.00]","[0, 1]"
V-reg,Emobloom-7b,0.10672358591248667,"[-0.20, 0.98]","[0, 1]"
V-reg,Emollama-7b,0.0,"[0.07, 0.94]","[0, 1]"
V-reg,Emollama-chat-13b,0.0,"[0.04, 0.97]","[0, 1]"
V-reg,Emollama-chat-7b,0.0,"[0.05, 0.95]","[0, 1]"
V-reg,Emoopt-13b,0.0,"[0.04, 0.96]","[0, 1]"
SST,Emobloom-7b,1.8670309653916213,"[-2.50, 458.00]","[0, 1]"
SST,Emollama-7b,0.0,"[0.20, 0.90]","[0, 1]"
SST,Emollama-chat-13b,0.0,"[0.08, 0.94]","[0, 1]"
SST,Emollama-chat-7b,0.36199095022624433,"[-47.68, 0.88]","[0, 1]"
SST,Emoopt-13b,0.0,"[0.09, 0.83]","[0, 1]"
"V-A,V-M,V-NYT,V-T",Emobloom-7b,0.3001500750375188,"[-2.94, 5.80]","[-4, 4]"
"V-A,V-M,V-NYT,V-T",Emollama-7b,0.0,"[-2.68, 3.87]","[-4, 4]"
"V-A,V-M,V-NYT,V-T",Emollama-chat-13b,0.025,"[-4.00, 5.00]","[-4, 4]"
"V-A,V-M,V-NYT,V-T",Emollama-chat-7b,0.02501250625312656,"[-2.15, 4.71]","[-4, 4]"
"V-A,V-M,V-NYT,V-T",Emoopt-13b,0.075,"[-2.50, 7.98]","[-4, 4]"
