Dataset,Model,R_squared,MAE
EI-reg,Emobloom-7b,0.5843336498579009,0.09431120943952802
EI-reg,Emollama-7b,0.6226527702543055,0.09051794493608652
EI-reg,Emollama-chat-13b,0.6700915697600904,0.0852487708947886
EI-reg,Emollama-chat-7b,0.621519416121553,0.09049041297935104
EI-reg,Emoopt-13b,0.6202379030447224,0.09012586037364799
V-reg,Emobloom-7b,0.725331383990125,0.08722411953041624
V-reg,Emollama-7b,0.7566993719241708,0.083846318036286
V-reg,Emollama-chat-13b,0.7793534179867103,0.08002774813233723
V-reg,Emollama-chat-7b,0.747947887407844,0.0857812166488794
V-reg,Emoopt-13b,0.7640933732055205,0.08377161152614727
SST,Emobloom-7b,0.6083280821095571,0.12875465072859743
SST,Emollama-7b,0.5605170353698545,0.14319614841628958
SST,Emollama-chat-13b,0.5975628474744212,0.13527322533936653
SST,Emollama-chat-7b,0.5973818193967182,0.1351119819004525
SST,Emoopt-13b,0.48432075600913815,0.15509776832579186
"V-A,V-M,V-NYT,V-T",Emobloom-7b,-0.3152785600558181,1.5265161287287183
"V-A,V-M,V-NYT,V-T",Emollama-7b,0.2175867558511443,1.108930966759383
"V-A,V-M,V-NYT,V-T",Emollama-chat-13b,0.41959276057981176,0.9605114196828106
"V-A,V-M,V-NYT,V-T",Emollama-chat-7b,0.24771894603976752,1.0667557639635123
"V-A,V-M,V-NYT,V-T",Emoopt-13b,0.1899261596786853,1.1482497137543368
