Dataset,Model,R²,MAE,RMSE,MAPE,Residual_Mean,Residual_Std,Coverage_95%,Samples
EI-reg,Emobloom-7b,0.5843336498579009,0.09431120943952802,0.11960046566142908,22.720115120449734,-0.000303343166175025,0.11960008097553368,94.78859390363816,4068
EI-reg,Emollama-7b,0.6226527702543055,0.09051794493608652,0.11395437920855124,21.387293163213506,0.008231809242871188,0.11365666657699967,94.56735496558505,4068
EI-reg,Emollama-chat-13b,0.6700915697600904,0.0852487708947886,0.10655090510438851,20.829128783797895,-0.0014233038348082645,0.10654139845505231,94.93608652900689,4068
EI-reg,Emollama-chat-7b,0.621519416121553,0.09049041297935104,0.1141253806450372,22.058238978447026,-0.013647246804326453,0.11330646566739443,94.76401179941003,4068
EI-reg,Emoopt-13b,0.6202379030447224,0.09012586037364799,0.11431842829649524,21.136667530973966,9.439528023598479e-05,0.11431838932434271,94.88692232055064,4068
V-reg,Emobloom-7b,0.725331383990125,0.08722411953041624,0.11384824383977213,24.535074215483178,-0.0028847385272145138,0.11381169056397421,95.30416221985058,937
V-reg,Emollama-7b,0.7566993719241708,0.083846318036286,0.10715030984904833,24.998622074275218,-0.024742796157950903,0.10425441448223262,93.5965848452508,937
V-reg,Emollama-chat-13b,0.7793534179867103,0.08002774813233723,0.10203999257829681,22.504078406636857,-0.007805763073639277,0.10174099541589457,94.45037353255069,937
V-reg,Emollama-chat-7b,0.747947887407844,0.0857812166488794,0.1090603751211143,24.021091373433936,-0.019448239060832446,0.10731230786350127,94.34364994663821,937
V-reg,Emoopt-13b,0.7640933732055205,0.08377161152614727,0.10550957813349562,22.149007097864956,-0.01970117395944503,0.10365391851024205,93.81003201707577,937
SST,Emobloom-7b,0.6083280821095571,0.12875465072859743,0.16029971889858932,1343390.2511101332,0.05127360974499088,0.15187829608829936,94.89981785063752,2196
SST,Emollama-7b,0.5605170353698545,0.14319614841628958,0.1699827841414099,4339416.90894747,0.016903046153846163,0.16914027886693964,97.01357466063348,2210
SST,Emollama-chat-13b,0.5975628474744212,0.13527322533936653,0.1626608169740743,2819049.1485099415,0.018806213574660637,0.1615700086948613,96.24434389140272,2210
SST,Emollama-chat-7b,0.5973818193967182,0.1351119819004525,0.16269739767261962,4230816.735773564,0.016518430769230767,0.16185667936283837,96.38009049773756,2210
SST,Emoopt-13b,0.48432075600913815,0.15509776832579186,0.1841296557709524,3203668.78408054,0.0589939963800905,0.1744231593723588,96.01809954751131,2210
"V-A,V-M,V-NYT,V-T",Emobloom-7b,-0.3152785600558181,1.5265161287287183,1.7882600722487916,309675238.9140047,0.12047623183755332,1.784197176200399,96.7983991995998,3998
"V-A,V-M,V-NYT,V-T",Emollama-7b,0.2175867558511443,1.108930966759383,1.3791917976273451,93852646.56310958,-0.5421267562783655,1.2681753012772508,92.72500000000001,4000
"V-A,V-M,V-NYT,V-T",Emollama-chat-13b,0.41959276057981176,0.9605114196828106,1.187881118906697,65435121.07693797,-0.2999085062783655,1.149398294986079,94.69999999999999,4000
"V-A,V-M,V-NYT,V-T",Emollama-chat-7b,0.24771894603976752,1.0667557639635123,1.3515525938113657,86946112.47591397,-0.7260265195381346,1.1399911871438186,88.99449724862431,3998
"V-A,V-M,V-NYT,V-T",Emoopt-13b,0.1899261596786853,1.1482497137543368,1.4033592865439446,91417651.36207338,-0.7546987562783657,1.183151331994778,90.325,4000
