Dataset,Model,True_Value,Prediction,Residual
EI-reg,Emobloom-7b,0.734,0.75,-0.016000000000000014
EI-reg,Emobloom-7b,0.422,0.271,0.15099999999999997
EI-reg,Emobloom-7b,0.663,0.562,0.10099999999999998
EI-reg,Emobloom-7b,0.703,0.625,0.07799999999999996
EI-reg,Emobloom-7b,0.719,0.479,0.24
EI-reg,Emobloom-7b,0.359,0.333,0.025999999999999968
EI-reg,Emobloom-7b,0.844,0.646,0.19799999999999995
EI-reg,Emobloom-7b,0.823,0.667,0.15599999999999992
EI-reg,Emobloom-7b,0.675,0.646,0.029000000000000026
EI-reg,Emobloom-7b,0.803,0.729,0.07400000000000007
EI-reg,Emobloom-7b,0.547,0.521,0.026000000000000023
EI-reg,Emobloom-7b,0.686,0.625,0.061000000000000054
EI-reg,Emobloom-7b,0.914,0.792,0.122
EI-reg,Emobloom-7b,0.848,0.688,0.16000000000000003
EI-reg,Emobloom-7b,0.606,0.458,0.14799999999999996
EI-reg,Emobloom-7b,0.266,0.25,0.016000000000000014
EI-reg,Emobloom-7b,0.387,0.375,0.01200000000000001
EI-reg,Emobloom-7b,0.516,0.542,-0.026000000000000023
EI-reg,Emobloom-7b,0.303,0.542,-0.23900000000000005
EI-reg,Emobloom-7b,0.313,0.333,-0.020000000000000018
EI-reg,Emobloom-7b,0.547,0.5,0.04700000000000004
EI-reg,Emobloom-7b,0.403,0.438,-0.034999999999999976
EI-reg,Emobloom-7b,0.469,0.417,0.05199999999999999
EI-reg,Emobloom-7b,0.061,0.125,-0.064
EI-reg,Emobloom-7b,0.379,0.333,0.045999999999999985
EI-reg,Emobloom-7b,0.5,0.5,0.0
EI-reg,Emobloom-7b,0.423,0.312,0.11099999999999999
EI-reg,Emobloom-7b,0.21,0.271,-0.061000000000000026
EI-reg,Emobloom-7b,0.625,0.583,0.04200000000000004
EI-reg,Emobloom-7b,0.609,0.438,0.17099999999999999
EI-reg,Emobloom-7b,0.437,0.458,-0.02100000000000002
EI-reg,Emobloom-7b,0.442,0.438,0.0040000000000000036
EI-reg,Emobloom-7b,0.333,0.333,0.0
EI-reg,Emobloom-7b,0.258,0.396,-0.138
EI-reg,Emobloom-7b,0.528,0.312,0.21600000000000003
EI-reg,Emobloom-7b,0.625,0.688,-0.06299999999999994
EI-reg,Emobloom-7b,0.25,0.271,-0.02100000000000002
EI-reg,Emobloom-7b,0.29,0.271,0.01899999999999996
EI-reg,Emobloom-7b,0.297,0.417,-0.12
EI-reg,Emobloom-7b,0.375,0.521,-0.14600000000000002
EI-reg,Emobloom-7b,0.485,0.458,0.02699999999999997
EI-reg,Emobloom-7b,0.652,0.417,0.23500000000000004
EI-reg,Emobloom-7b,0.359,0.375,-0.016000000000000014
EI-reg,Emobloom-7b,0.609,0.625,-0.016000000000000014
EI-reg,Emobloom-7b,0.379,0.375,0.0040000000000000036
EI-reg,Emobloom-7b,0.328,0.229,0.099
EI-reg,Emobloom-7b,0.5,0.396,0.10399999999999998
EI-reg,Emobloom-7b,0.313,0.125,0.188
EI-reg,Emobloom-7b,0.313,0.396,-0.08300000000000002
EI-reg,Emobloom-7b,0.531,0.479,0.052000000000000046
EI-reg,Emobloom-7b,0.545,0.479,0.06600000000000006
EI-reg,Emobloom-7b,0.266,0.396,-0.13
EI-reg,Emobloom-7b,0.591,0.417,0.174
EI-reg,Emobloom-7b,0.585,0.438,0.14699999999999996
EI-reg,Emobloom-7b,0.485,0.312,0.173
EI-reg,Emobloom-7b,0.394,0.521,-0.127
EI-reg,Emobloom-7b,0.719,0.521,0.19799999999999995
EI-reg,Emobloom-7b,0.727,0.583,0.14400000000000002
EI-reg,Emobloom-7b,0.515,0.521,-0.006000000000000005
EI-reg,Emobloom-7b,0.297,0.354,-0.056999999999999995
EI-reg,Emobloom-7b,0.328,0.396,-0.068
EI-reg,Emobloom-7b,0.172,0.233,-0.061000000000000026
EI-reg,Emobloom-7b,0.25,0.354,-0.10399999999999998
EI-reg,Emobloom-7b,0.274,0.333,-0.059
EI-reg,Emobloom-7b,0.591,0.417,0.174
EI-reg,Emobloom-7b,0.484,0.5,-0.016000000000000014
EI-reg,Emobloom-7b,0.758,0.562,0.19599999999999995
EI-reg,Emobloom-7b,0.227,0.292,-0.06499999999999997
EI-reg,Emobloom-7b,0.397,0.438,-0.04099999999999998
EI-reg,Emobloom-7b,0.387,0.521,-0.134
EI-reg,Emobloom-7b,0.617,0.646,-0.029000000000000026
EI-reg,Emobloom-7b,0.194,0.354,-0.15999999999999998
EI-reg,Emobloom-7b,0.703,0.729,-0.026000000000000023
EI-reg,Emobloom-7b,0.547,0.583,-0.03599999999999992
EI-reg,Emobloom-7b,0.516,0.479,0.03700000000000003
EI-reg,Emobloom-7b,0.578,0.479,0.09899999999999998
EI-reg,Emobloom-7b,0.734,0.75,-0.016000000000000014
EI-reg,Emobloom-7b,0.406,0.417,-0.010999999999999954
EI-reg,Emobloom-7b,0.25,0.375,-0.125
EI-reg,Emobloom-7b,0.828,0.646,0.18199999999999994
EI-reg,Emobloom-7b,0.364,0.542,-0.17800000000000005
EI-reg,Emobloom-7b,0.516,0.583,-0.06699999999999995
EI-reg,Emobloom-7b,0.469,0.375,0.09399999999999997
EI-reg,Emobloom-7b,0.649,0.583,0.06600000000000006
EI-reg,Emobloom-7b,0.515,0.438,0.07700000000000001
EI-reg,Emobloom-7b,0.266,0.521,-0.255
EI-reg,Emobloom-7b,0.781,0.562,0.21899999999999997
EI-reg,Emobloom-7b,0.453,0.417,0.03600000000000003
EI-reg,Emobloom-7b,0.591,0.604,-0.013000000000000012
EI-reg,Emobloom-7b,0.391,0.333,0.057999999999999996
EI-reg,Emobloom-7b,0.47,0.583,-0.11299999999999999
EI-reg,Emobloom-7b,0.727,0.604,0.123
EI-reg,Emobloom-7b,0.359,0.354,0.0050000000000000044
